Account Owner (ID),Address / Address 1,Address / Address 2,Address / City,Address / State,Address / Country,Address / Post Code,ARR / Amount,ARR / Currency,Creation date,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Employees,Id,ICP,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Name,Last update,X / Link URL,X / Link Label,X / Secondary Links
,,,,,,,,INR,2024-11-21T18:26:21.000Z,,,[],,0823fde5-9b31-4ccb-84b5-cc7fcdcd44de,true,,,[],Interise project management pvt. ltd.,2024-11-21T18:26:21.000Z,,,[]
,,,,,,,,INR,2025-04-11T14:48:20.000Z,,,[],,3e582645-a4ca-43f2-9f45-a6f24c72419f,true,,,[],ITD Cementation India Ltd,2025-04-11T14:48:20.000Z,,,[]
,,,,,,,,INR,2025-08-29T14:32:44.000Z,,,[],,0fcf489d-0d96-4e83-b425-4b553472c384,true,,,[],Jupiter International,2025-08-29T14:51:54.000Z,,,[]
,,,,,,,,INR,2023-05-24T14:09:05.000Z,,,[],,fcb60663-7c75-4fa3-b911-12d42dd116f8,true,,,[],Kamstrup metering solution Pvt. Ltd.,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2024-07-15T12:30:38.000Z,,,[],,bbeaec62-fd07-48b6-80cc-0be536084b13,true,,,[],Karkardooma site,2025-07-29T14:25:29.000Z,,,[]
,,,,,,,,INR,2025-07-11T12:21:55.000Z,,,[],,89742fb1-e2d2-4174-94e7-5e40e9e6e68d,true,,,[],KISHAN KUMAR & SONS,2025-07-11T12:21:55.000Z,,,[]
,,,,,,,,INR,2025-04-03T17:04:30.000Z,,,[],,933bf90e-ccd1-4d1c-a445-e10586032ad0,true,,,[],Krishan K & Sons,2025-04-03T17:04:30.000Z,,,[]
,,,,,,,,INR,2024-05-29T15:13:58.000Z,,,[],,fd55c26d-5901-41e7-844c-7a5a49d1083b,true,,,[],Krishna Industries,2024-05-29T15:13:58.000Z,,,[]
,,,,,,,,INR,2025-04-29T12:13:06.000Z,,,[],,3b91fd0d-4d3b-44e0-8c6a-cae08097d082,true,,,[],Ladakh Bhawan,2025-10-04T15:40:59.000Z,,,[]
,,,,,,,,INR,2023-07-19T13:44:43.000Z,,,[],,3e297de3-a8c9-4c92-9d0b-11f572044be7,true,,,[],M/s. B. G. SHIRKE CONSTRUCTION TECH,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2025-05-15T13:09:59.000Z,,,[],,3b596fac-25e7-4c5a-8acb-e005d8c4e279,true,,,[],Mahavir ji,2025-05-15T13:09:59.000Z,,,[]
,,,,,,,,INR,2025-07-25T12:31:01.000Z,,,[],,6335edb4-603d-4963-8b4d-223f6d168ef8,true,,,[],Maruti Energy,2025-07-25T12:31:01.000Z,,,[]
,,,,,,,,INR,2026-01-12T12:50:33.000Z,,,[],,d6767970-2bce-4c64-b524-5c44f747c1c7,true,,,[],Mr. Aniket Namdev,2026-01-12T12:50:33.000Z,,,[]
,,,,,,,,INR,2025-08-06T11:47:51.000Z,,,[],,688b0c84-9aaf-4c55-8797-9944ec34903a,true,,,[],Mr. Ankush Sood,2025-08-06T11:47:51.000Z,,,[]
,,,,,,,,INR,2025-10-04T13:40:59.000Z,,,[],,dedd5c74-3316-40a5-9ec1-ca3da319efb9,true,,,[],Mr. Arpan Chopra,2025-10-04T13:40:59.000Z,,,[]
,,,,,,,,INR,2025-06-27T10:00:39.000Z,,,[],,77bc8cb8-8fb1-4132-9c65-20cbdd23d0a2,true,,,[],Mr. Arush Arora,2025-06-27T10:00:39.000Z,,,[]
,,,,,,,,INR,2024-05-20T16:55:29.000Z,,,[],,3465785e-f47c-4561-af2a-f3ff18f7bbab,true,,,[],Mr. Ashish Agrawal,2024-05-20T16:55:29.000Z,,,[]
