Account Owner (ID),Address / Address 1,Address / Address 2,Address / City,Address / State,Address / Country,Address / Post Code,ARR / Amount,ARR / Currency,Creation date,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Employees,Id,ICP,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Name,Last update,X / Link URL,X / Link Label,X / Secondary Links
,,,,,,,,INR,2025-06-26T11:52:04.000Z,,,[],,,true,,,[],Mr. Sumit Tomar,2025-06-26T11:52:04.000Z,,,[]
,,,,,,,,INR,2025-06-12T13:27:39.000Z,https://nacof-india.com,nacof-india.com,[],,,true,,,[],NACOF,2025-06-12T13:27:39.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,,true,,,[],"National Medical Counselling, Dwarka",2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2023-05-01T16:49:06.000Z,,,[],,,true,,,[],NBCC,2024-05-01T18:09:39.000Z,,,[]
,,,,,,,,INR,2025-04-03T10:43:30.000Z,,,[],,,true,,,[],NBCC (India) Ltd.,2025-07-14T14:00:36.000Z,,,[]
,,,,,,,,INR,2026-01-08T06:20:11.000Z,,,[],,,true,,,[],NCC LIMITED,2026-01-08T06:20:11.000Z,,,[]
,,,,,,,,INR,2024-12-16T11:24:04.000Z,,,[],,,true,,,[],"NIMR Dwarka sector 8 Executive Engineer, DED-51,Sub Division-1, R K puram , New Delhi",2024-12-16T11:24:04.000Z,,,[]
,,,,,,,,INR,2025-06-12T03:13:46.000Z,,,[],,,true,,,[],Noida Jal Nigam,2025-06-12T03:14:17.000Z,,,[]
,Okhwood residency sector 28 Gurgaon Haryana,,Gurgoan,Haryana,India,110071,,INR,2024-06-19T12:52:26.000Z,,,[],,,true,,,[],Oakwood Residency,2024-06-19T14:42:34.000Z,,,[]
,,,,,,,,INR,2025-11-24T13:59:23.000Z,,,[],,,true,,,[],Pitambra Real Infra private limited,2025-11-24T14:02:28.000Z,,,[]
,,,,,,,,INR,2025-01-03T16:07:01.000Z,,,[],,,true,,,[],PS INFRACOR PRIVATE LIMITED,2025-01-04T12:36:17.000Z,,,[]
,,,,,,,,INR,2025-06-28T10:27:34.000Z,,,[],,,true,,,[],PS Infracorp,2025-07-29T14:13:06.000Z,,,[]
,,,,,,,,INR,2025-04-11T12:22:19.000Z,,,[],,,true,,,[],Rakesh Sen,2025-04-11T12:22:19.000Z,,,[]
,Near Purana Gokul,,,,,281305,,INR,2025-09-04T11:52:14.000Z,,,[],,,true,,,[],Ram Reti Ashram,2025-09-04T11:52:14.000Z,,,[]
,,,,,,,,INR,2024-11-30T10:56:04.000Z,,,[],,,true,,,[],RAMV INDUSTRIAL,2024-11-30T10:56:04.000Z,,,[]
,"Nannur toll plaza, NH 40 Highway,","Chitoor Main Road, Kurnool, 518002",Kurnool,Andhra Pradesh,India,518002,,INR,2024-07-15T16:33:01.000Z,,,[],,,true,,,[],RAYALASEEMA EXPRESSWAY PVT. LTD.,2024-07-19T10:38:51.000Z,,,[]
,,,,,,,,INR,2024-09-11T17:21:26.000Z,,,[],,,true,,,[],Rounak India Project Pvt ltd,2026-01-09T16:00:03.000Z,,,[]
,Dwarka side,,New Delhi,Delhi,India,,,INR,2024-11-19T16:19:38.000Z,,,[],,,true,,,[],"S.E. CPWD Level-7,East Block-1,R.K. Puram New Delhi",2024-11-19T16:21:03.000Z,,,[]
,,,,,,,,INR,2024-06-12T17:10:01.000Z,,,[],,,true,,,[],Sabre Officer's Mess,2024-06-12T17:10:01.000Z,,,[]
,,,,,,,,INR,2026-01-20T14:59:33.000Z,,,[],,,true,,,[],Sai Ganesh Controls,2026-01-20T14:59:33.000Z,,,[]
,Najafgarh,,,,India,,,INR,2024-05-14T14:06:45.000Z,,,[],,,true,,,[],Satyendra Kumar Phogat,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2025-05-14T14:32:00.000Z,,,[],,,true,,,[],Sebi Maity,2025-05-14T14:32:00.000Z,,,[]
,,,,,,,,INR,2024-04-22T16:48:37.000Z,,,[],,,true,,,[],Setu Marbles,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2025-03-07T14:32:56.000Z,,,[],,,true,,,[],Shivam Auto tech Ltd.,2025-03-07T14:32:56.000Z,,,[]
,,,,,,,,INR,2023-06-07T15:01:59.000Z,,,[],,,true,,,[],Sikka Associates Architects,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2025-12-19T14:38:36.000Z,,,[],,,true,,,[],SOLARIUM GREEN ENERGY LIMITED,2025-12-19T14:38:36.000Z,,,[]
,,,,,,,,INR,2025-10-30T12:24:59.000Z,,,[],,,true,,,[],Solutions,2025-10-30T12:24:59.000Z,,,[]
,,,,,,,,INR,2025-01-04T12:40:22.000Z,,,[],,,true,,,[],Som Projects,2025-01-04T12:40:22.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,,true,,,[],"SPG COMPLEX, DWARKA",2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2025-04-24T13:25:59.000Z,,,[],,,true,,,[],Sunson energy device pvt ltd,2025-04-24T13:25:59.000Z,,,[]
,,,,,,,,INR,2025-11-03T13:16:14.000Z,,,[],,,true,,,[],Tattva Agro Energies PVT.LTD.,2025-11-03T13:16:14.000Z,,,[]
,"D-1506, Tower D, 15th floor, Global Business park,","Sikandarpur, MG Road",Gurugram,Haryana,India,122002,,INR,2024-09-05T13:08:26.000Z,,,[],,,true,,,[],TERRAMOTORS CHARGING SOLUTIONS PRIVATE LIMITED,2024-09-05T14:49:18.000Z,,,[]
,,,,,,,,INR,2025-11-19T08:16:46.000Z,,,[],,,true,,,[],Titan,2025-11-19T08:16:46.000Z,,,[]
,36 SHERA MOHALLA GARHI,,NEW DELHI,Delhi,India,,1916946.770,INR,2023-03-21T20:49:21.000Z,,,[],,,true,,,[],UMA KANT GARG,2024-05-01T18:09:39.000Z,,,[]
,,,,,,,,INR,2025-12-12T14:18:56.000Z,,,[],,,true,,,[],Urban and Organic,2025-12-12T14:18:56.000Z,,,[]
,,,,,,,,INR,2025-05-28T14:25:27.000Z,,,[],,,true,,,[],VARINDERA CONSTRUCTIONS LIMITED,2025-06-12T03:14:17.000Z,,,[]
,,,,,,,,INR,2023-09-16T19:04:00.000Z,,,[],,,true,,,[],Vishesh Builders,2024-05-14T15:30:54.000Z,,,[]
,"WATCO CORPORATE OFFICE, GROUND FLOOR, UNNATI BHAWAN SATYA NAGAR",,BHUBANESHWAR,Odisha,India,751007,,INR,2025-04-16T13:25:03.000Z,,,[],,,true,,,[],Water Corporation of Orissa,2025-04-16T14:13:07.000Z,,,[]
,,,,,,,,INR,2024-07-05T14:34:48.000Z,,,[],,,true,,,[],Yash Chauhan,2024-07-05T14:34:48.000Z,,,[]
,8 W Cerritos Ave #54,,Bridgeport,New Jersey,,,,INR,2024-05-01T23:13:07.000Z,https://help.zoho.com,help.zoho.com,[],,,true,,,[],Zylker Corp,2024-05-14T15:30:54.000Z,,,[]
